Name,spot,city,detail,photo,url
北海道,大通公園,札幌市,札幌を代表する公園。桜の名所としても知られる。,https://www.sapporo.travel/cms/wp-content/uploads/2017/06/%E5%A4%A7%E9%80%9A%E5%85%AC%E5%9C%92_%E9%A6%AC%E6%B8%95%E7%BF%94_DSC04938-2-3-1.jpg,https://odori-park.jp/
北海道,北海道庁旧本庁舎,札幌市,赤レンガの洋風建築で、国の重要文化財に指定されている。,https://www.visit-hokkaido.jp/lsc/upfile/spot/0001/1185/11185_1_l.jpg,https://www.pref.hokkaido.lg.jp/kz/kkd/akarenga.html
北海道,さっぽろテレビ塔,札幌市,地上101mの高さから、札幌市街を一望できる。,https://www.visit-hokkaido.jp/lsc/upfile/spot/0001/0011/10011_4_l.jpg,https://www.tv-tower.co.jp/
青森県,弘前城,弘前市,江戸時代初期に築城された五重六階の天守閣が特徴。弘前公園は桜の名所としても有名。,https://www.hirosakipark.jp/sakura/wp-content/uploads/2021/03/viewspot06-840x560.jpg,https://www.hirosakipark.jp/hirosakijo.html
青森県,八甲田山,青森市,標高1000～2286メートルの山々。新緑や紅葉、冬の雪景色など、四季折々の美しい景色を楽しむことができる。,https://upload.wikimedia.org/wikipedia/commons/e/e2/Hakkodasan_seen_from_the_northwest.jpg,http://www.hakkoda-ropeway.jp/
青森県,奥入瀬渓流,十和田市,全長14kmの渓流。エメラルドグリーンの清流と、周囲の豊かな自然が織りなす景色は、まさに絶景。,https://towadako.or.jp/wp-content/themes/towadako/images/page/appe_img04-large.jpg,https://towadako.or.jp/towadako-oirase/
岩手県,厳美渓,一関市,磐井川沿いに約2kmにわたる渓谷が続く、国の名勝・天然記念物,https://genbicc.jp/wp/wp-content/uploads/2020/08/benbikei01-500x375.jpg,https://iwatetabi.jp/spot/detail.spn.php?spot_id=763
岩手県,猊鼻渓,一関市,砂鉄川沿いに約1kmにわたる渓谷が続く、船下りができる,https://bellino-stanza.jp/wp-content/uploads/2021/03/geibiharu2.jpg,https://iwatetabi.jp/spot/detail.spn.php?spot_id=1214
岩手県,盛岡城跡公園（岩手公園）,盛岡市,国の史跡に指定された盛岡藩主の居城跡,https://www.morioka-hachimantai.jp/morihachiwp/wp-content/uploads/2023/02/0067_01.jpg,https://www.city.morioka.iwate.jp/kurashi/midori/koen/1010491.html
秋田県,田沢湖,仙北市,日本一深い湖（水深423m）で、周囲は約46km。瑠璃色の湖水が美しい。,https://www.knt.co.jp/travelguide/kokunai/image/travelguide_107_mv.jpg,https://www.city.semboku.akita.jp/sightseeing/spot/04_tazawako.html
